"disease","menopause_timing_definition","health_outcome","metric_type","metric_value","ci_95","reference","date_published","n_of_included_studies","sample_size","geography","confounder_vars","authors","robis_categorical_risk","robis_quality_score"
"cardiovascular disease","Earliest age at natural menopause vs. normal menopause","Coronary Heart Disease mortality","RR","1.11","1.03-1.20","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, menarche age, contraceptive use, WHR, income, regular exercise, occupation, pregnancy number, height, weight, PE, oral contraceptive use, lactation duration, unilateral oophorectomy","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","6"
"cardiovascular disease","Earliest age at natural menopause vs. normal menopause","Cardiovascular mortality","RR","1.06","0.92-1.21","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, menarche age, contraceptive use, WHR, income, regular exercise, occupation, pregnancy number, height, weight, PE, oral contraceptive use, lactation duration, unilateral oophorectomy","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","6"
"cardiovascular disease","Earliest age at natural menopause vs. normal menopause","Stroke mortality","RR","0.94","0.86-1.04","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, menarche age, contraceptive use, WHR, income, regular exercise, occupation, pregnancy number, height, weight, PE, oral contraceptive use, lactation duration, unilateral oophorectomy","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","6"
"cardiovascular disease","Natural menopause before age 40 vs. reference group","All-cause mortality","RR","1.24","1.10-1.39","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age at baseline, years of follow-up, race, education, smoking, use of hormone replacement therapy, DB, hypertension, parity, age at first birth, leisure PA, BMI, current use of estrogen, ever-smoking, vegetarian status, dietary pattern, SBP, TC, HDL-C, history of DB, alcohol, marital status, study area, type of menopause, self-cognitive health level, chronic disease, menarche age, contraceptive use, WHR, income, regular exercise, occupation, pregnancy number, height, weight, PE, oral contraceptive use, lactation duration, unilateral oophorectomy","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","6"
"cardiovascular disease","Early age at natural menopause vs normal menopause","Cardiovascular mortality","HR","1.01","0.95-1.09","https://doi.org/10.1155/2021/6636856","2021","16","321233","America, Europe, Asia","age, hormone replacement therapy, hypertension, BMI, socio-economic class, smoking, alcohol, marital status, education, physical activity, parity, diabetes, use of estrogen, oral contraceptive use, race, chronic disease, county, occupation, birth cohort, waist-to-hip ratio, income, regular exercise, reproductive factors, dietary pattern","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"cardiovascular disease","Early age at natural menopause vs normal menopause","Cardiovascular mortality","RR","1.08","0.77-1.51","https://doi.org/10.1155/2021/6636856","2021","16","321233","America, Europe, Asia","age, hormone replacement therapy, hypertension, BMI, socio-economic class, smoking, alcohol, marital status, education, physical activity, parity, diabetes, use of estrogen, oral contraceptive use, race, chronic disease, county, occupation, birth cohort, waist-to-hip ratio, income, regular exercise, reproductive factors, dietary pattern","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"cardiovascular disease","Premature menopause <40 years vs reference 49-52 years","Cardiovascular mortality","HR","1.09","1.00-1.19","https://doi.org/10.1155/2021/6636856","2021","16","321233","America, Europe, Asia","age, hormone replacement therapy, hypertension, BMI, socio-economic class, smoking, alcohol, marital status, education, physical activity, parity, diabetes, use of estrogen, oral contraceptive use, race, chronic disease, county, occupation, birth cohort, waist-to-hip ratio, income, regular exercise, reproductive factors, dietary pattern","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"cardiovascular disease","Early menopause 40-44 years vs reference 49-52 years","Cardiovascular mortality","HR","1.07","0.90-1.27","https://doi.org/10.1155/2021/6636856","2021","16","321233","America, Europe, Asia","age, hormone replacement therapy, hypertension, BMI, socio-economic class, smoking, alcohol, marital status, education, physical activity, parity, diabetes, use of estrogen, oral contraceptive use, race, chronic disease, county, occupation, birth cohort, waist-to-hip ratio, income, regular exercise, reproductive factors, dietary pattern","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"cardiovascular disease","Relatively early menopause 45-49 years vs reference 49-52 years","Cardiovascular mortality","HR","0.97","0.88-1.07","https://doi.org/10.1155/2021/6636856","2021","16","321233","America, Europe, Asia","age, hormone replacement therapy, hypertension, BMI, socio-economic class, smoking, alcohol, marital status, education, physical activity, parity, diabetes, use of estrogen, oral contraceptive use, race, chronic disease, county, occupation, birth cohort, waist-to-hip ratio, income, regular exercise, reproductive factors, dietary pattern","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"cardiovascular disease","Premature menopause <40 years vs reference","Cardiovascular mortality","RR","1.26","0.56-2.85","https://doi.org/10.1155/2021/6636856","2021","16","321233","America, Europe, Asia","age, hormone replacement therapy, hypertension, BMI, socio-economic class, smoking, alcohol, marital status, education, physical activity, parity, diabetes, use of estrogen, oral contraceptive use, race, chronic disease, county, occupation, birth cohort, waist-to-hip ratio, income, regular exercise, reproductive factors, dietary pattern","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"cardiovascular disease","Early menopause 40-44 years vs reference","Cardiovascular mortality","RR","1.04","0.54-2.00","https://doi.org/10.1155/2021/6636856","2021","16","321233","America, Europe, Asia","age, hormone replacement therapy, hypertension, BMI, socio-economic class, smoking, alcohol, marital status, education, physical activity, parity, diabetes, use of estrogen, oral contraceptive use, race, chronic disease, county, occupation, birth cohort, waist-to-hip ratio, income, regular exercise, reproductive factors, dietary pattern","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
