"disease","menopause_timing_definition","health_outcome","metric_type","metric_value","ci_95","reference","date_published","n_of_included_studies","sample_size","geography","confounder_vars","authors","robis_categorical_risk","robis_quality_score"
"All Cause Mortality","<40 vs 49-52","All cause mortality (adjusted)","HR","1.08","1.03-1.14","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, hormone replacement therapy use, hypertension, BMI, socioeconomic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, pregnancy number, age at menarche, height, weight, use of ET, WHR, occupation, income, regular exercise, race, parity, number of chronic diseases, medical conditions, behavioral characteristics, birth cohort, physical exercise, CVD history, number of live births, age at first birth, vegetarian status, dietary pattern, use of estrogen replacement therapy, county, time period, PE, oral contraceptive use, lactation duration, unilateral oophorectomy, exercise","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<40 vs 49-52","All cause mortality (adjusted)","RR","1.05","1.01-1.08","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, hormone replacement therapy use, hypertension, BMI, socioeconomic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, pregnancy number, age at menarche, height, weight, use of ET, WHR, occupation, income, regular exercise, race, parity, number of chronic diseases, medical conditions, behavioral characteristics, birth cohort, physical exercise, CVD history, number of live births, age at first birth, vegetarian status, dietary pattern, use of estrogen replacement therapy, county, time period, PE, oral contraceptive use, lactation duration, unilateral oophorectomy, exercise","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<40 vs 49-52","All cause mortality (unadjusted)","HR","1.12","1.05-1.19","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, hormone replacement therapy use, hypertension, BMI, socioeconomic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, pregnancy number, age at menarche, height, weight, use of ET, WHR, occupation, income, regular exercise, race, parity, number of chronic diseases, medical conditions, behavioral characteristics, birth cohort, physical exercise, CVD history, number of live births, age at first birth, vegetarian status, dietary pattern, use of estrogen replacement therapy, county, time period, PE, oral contraceptive use, lactation duration, unilateral oophorectomy, exercise","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<40 vs 49-52","All cause mortality (unadjusted)","RR","1.03","1.00-1.06","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, hormone replacement therapy use, hypertension, BMI, socioeconomic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, pregnancy number, age at menarche, height, weight, use of ET, WHR, occupation, income, regular exercise, race, parity, number of chronic diseases, medical conditions, behavioral characteristics, birth cohort, physical exercise, CVD history, number of live births, age at first birth, vegetarian status, dietary pattern, use of estrogen replacement therapy, county, time period, PE, oral contraceptive use, lactation duration, unilateral oophorectomy, exercise","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<40 vs 49-52","Cardiovascular mortality (adjusted)","HR","1.01","0.95-1.09","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, hormone replacement therapy use, hypertension, BMI, socioeconomic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, pregnancy number, age at menarche, height, weight, use of ET, WHR, occupation, income, regular exercise, race, parity, number of chronic diseases, medical conditions, behavioral characteristics, birth cohort, physical exercise, CVD history, number of live births, age at first birth, vegetarian status, dietary pattern, use of estrogen replacement therapy, county, time period, PE, oral contraceptive use, lactation duration, unilateral oophorectomy, exercise","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<40 vs 49-52","Cardiovascular mortality (adjusted)","RR","1.08","0.77-1.51","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, hormone replacement therapy use, hypertension, BMI, socioeconomic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, pregnancy number, age at menarche, height, weight, use of ET, WHR, occupation, income, regular exercise, race, parity, number of chronic diseases, medical conditions, behavioral characteristics, birth cohort, physical exercise, CVD history, number of live births, age at first birth, vegetarian status, dietary pattern, use of estrogen replacement therapy, county, time period, PE, oral contraceptive use, lactation duration, unilateral oophorectomy, exercise","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<40 vs 49-52","Cardiovascular mortality (unadjusted)","HR","1.04","1.00-1.13","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, hormone replacement therapy use, hypertension, BMI, socioeconomic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, pregnancy number, age at menarche, height, weight, use of ET, WHR, occupation, income, regular exercise, race, parity, number of chronic diseases, medical conditions, behavioral characteristics, birth cohort, physical exercise, CVD history, number of live births, age at first birth, vegetarian status, dietary pattern, use of estrogen replacement therapy, county, time period, PE, oral contraceptive use, lactation duration, unilateral oophorectomy, exercise","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<40 years vs 49-52","All cause mortality (adjusted)","HR","1.10","1.01-1.21","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, hormone replacement therapy use, hypertension, BMI, socioeconomic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, pregnancy number, age at menarche, height, weight, use of ET, WHR, occupation, income, regular exercise, race, parity, number of chronic diseases, medical conditions, behavioral characteristics, birth cohort, physical exercise, CVD history, number of live births, age at first birth, vegetarian status, dietary pattern, use of estrogen replacement therapy, county, time period, PE, oral contraceptive use, lactation duration, unilateral oophorectomy, exercise","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<40 years vs 49-52","All cause mortality (unadjusted)","RR","1.34","1.08-1.66","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, hormone replacement therapy use, hypertension, BMI, socioeconomic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, pregnancy number, age at menarche, height, weight, use of ET, WHR, occupation, income, regular exercise, race, parity, number of chronic diseases, medical conditions, behavioral characteristics, birth cohort, physical exercise, CVD history, number of live births, age at first birth, vegetarian status, dietary pattern, use of estrogen replacement therapy, county, time period, PE, oral contraceptive use, lactation duration, unilateral oophorectomy, exercise","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<40 years vs 49-52","Cardiovascular mortality","HR","1.09","1.00-1.19","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, hormone replacement therapy use, hypertension, BMI, socioeconomic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, pregnancy number, age at menarche, height, weight, use of ET, WHR, occupation, income, regular exercise, race, parity, number of chronic diseases, medical conditions, behavioral characteristics, birth cohort, physical exercise, CVD history, number of live births, age at first birth, vegetarian status, dietary pattern, use of estrogen replacement therapy, county, time period, PE, oral contraceptive use, lactation duration, unilateral oophorectomy, exercise","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","40-44 years vs 49-52","All cause mortality (adjusted)","HR","1.12","0.96-1.31","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, hormone replacement therapy use, hypertension, BMI, socioeconomic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, pregnancy number, age at menarche, height, weight, use of ET, WHR, occupation, income, regular exercise, race, parity, number of chronic diseases, medical conditions, behavioral characteristics, birth cohort, physical exercise, CVD history, number of live births, age at first birth, vegetarian status, dietary pattern, use of estrogen replacement therapy, county, time period, PE, oral contraceptive use, lactation duration, unilateral oophorectomy, exercise","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","45-49 years vs 49-52","All cause mortality (adjusted)","HR","1.05","1.00-1.10","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, hormone replacement therapy use, hypertension, BMI, socioeconomic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, pregnancy number, age at menarche, height, weight, use of ET, WHR, occupation, income, regular exercise, race, parity, number of chronic diseases, medical conditions, behavioral characteristics, birth cohort, physical exercise, CVD history, number of live births, age at first birth, vegetarian status, dietary pattern, use of estrogen replacement therapy, county, time period, PE, oral contraceptive use, lactation duration, unilateral oophorectomy, exercise","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","40-44 years vs 49-52","All cause mortality (adjusted)","RR","1.03","0.96-1.10","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, hormone replacement therapy use, hypertension, BMI, socioeconomic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, pregnancy number, age at menarche, height, weight, use of ET, WHR, occupation, income, regular exercise, race, parity, number of chronic diseases, medical conditions, behavioral characteristics, birth cohort, physical exercise, CVD history, number of live births, age at first birth, vegetarian status, dietary pattern, use of estrogen replacement therapy, county, time period, PE, oral contraceptive use, lactation duration, unilateral oophorectomy, exercise","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","45-49 years vs 49-52","All cause mortality (adjusted)","RR","1.02","1.01-1.04","https://doi.org/10.1155/2021/6636856","2021","16","321233","USA, Netherlands, Japan, Korea, Brazil, Taiwan, Norway","Age, hormone replacement therapy use, hypertension, BMI, socioeconomic class, SBP, TC, HDL-C, history of DB, smoking, alcohol, marital status, study area, type of menopause, education, diabetes, pregnancy number, age at menarche, height, weight, use of ET, WHR, occupation, income, regular exercise, race, parity, number of chronic diseases, medical conditions, behavioral characteristics, birth cohort, physical exercise, CVD history, number of live births, age at first birth, vegetarian status, dietary pattern, use of estrogen replacement therapy, county, time period, PE, oral contraceptive use, lactation duration, unilateral oophorectomy, exercise","['Huan, Luyao', 'Deng, Xiangling', 'He, Mengyang', 'Chen, Shunhong', 'Niu, Wenquan']","Low","10"
"All Cause Mortality","<45 vs >=45","All-cause mortality (adjusted)","RR","1.12","1.03-1.21","https://doi.org/10.1001/jamacardio.2016.2415","2016-Oct-01","32","342284","Europe, North America, Asia","Age, smoking status, lipid levels, hypertension, body mass index, history of cardiometabolic disease, hormone therapy, socioeconomic status","['Muka, Taulant', 'Oliver-Williams, Clare', 'Kunutsor, Setor', 'Laven, Joop S E', 'Fauser, Bart C J M', 'Chowdhury, Rajiv', 'Kavousi, Maryam', 'Franco, Oscar H']","Low","10"
"All Cause Mortality","45-49 vs >=50","All-cause mortality (adjusted)","RR","1.03","1.00-1.05","https://doi.org/10.1001/jamacardio.2016.2415","2016-Oct-01","32","342284","Europe, North America, Asia","Age, smoking status, lipid levels, hypertension, body mass index, history of cardiometabolic disease, hormone therapy, socioeconomic status","['Muka, Taulant', 'Oliver-Williams, Clare', 'Kunutsor, Setor', 'Laven, Joop S E', 'Fauser, Bart C J M', 'Chowdhury, Rajiv', 'Kavousi, Maryam', 'Franco, Oscar H']","Low","10"
"All Cause Mortality","50-54 vs <50","All-cause mortality (adjusted)","RR","1.02","0.89-1.15","https://doi.org/10.1001/jamacardio.2016.2415","2016-Oct-01","32","342284","Europe, North America, Asia","Age, smoking status, lipid levels, hypertension, body mass index, history of cardiometabolic disease, hormone therapy, socioeconomic status","['Muka, Taulant', 'Oliver-Williams, Clare', 'Kunutsor, Setor', 'Laven, Joop S E', 'Fauser, Bart C J M', 'Chowdhury, Rajiv', 'Kavousi, Maryam', 'Franco, Oscar H']","Low","10"
"All Cause Mortality","<10 years vs >=10 years after menopause","All-cause death (adjusted)","RR","0.96","0.85-1.09","https://doi.org/10.1186/s12905-023-02788-0","2024-Jan-23","33","44639","N/A","N/A","['Gu, Yimeng', 'Han, Fangfang', 'Xue, Mei', 'Wang, Miyuan', 'Huang, Yuxiao']","Low","8"
"All Cause Mortality","<10 years vs >=10 years after menopause","Cardiovascular events (adjusted)","RR","0.97","0.82-1.14","https://doi.org/10.1186/s12905-023-02788-0","2024-Jan-23","33","44639","N/A","N/A","['Gu, Yimeng', 'Han, Fangfang', 'Xue, Mei', 'Wang, Miyuan', 'Huang, Yuxiao']","Low","8"
"All Cause Mortality","<10 years vs >=10 years after menopause","Stroke (adjusted)","RR","1.23","1.08-1.41","https://doi.org/10.1186/s12905-023-02788-0","2024-Jan-23","33","44639","N/A","N/A","['Gu, Yimeng', 'Han, Fangfang', 'Xue, Mei', 'Wang, Miyuan', 'Huang, Yuxiao']","Low","8"
"All Cause Mortality","<10 years vs >=10 years after menopause","Venous thromboembolism (adjusted)","RR","1.86","1.39-2.50","https://doi.org/10.1186/s12905-023-02788-0","2024-Jan-23","33","44639","N/A","N/A","['Gu, Yimeng', 'Han, Fangfang', 'Xue, Mei', 'Wang, Miyuan', 'Huang, Yuxiao']","Low","8"
"All Cause Mortality","<40 vs >=50","Ischaemic heart disease","HR","1.69","1.29-2.21","https://doi.org/10.1177/2047487314556004","2016-Jan","10","190588","N/A","N/A","['Roeters van Lennep, Jeanine E', 'Heida, Karst Y', 'Bots, Michiel L', 'Hoek, Annemieke']","Low","8"
"All Cause Mortality","<40 vs >=50","Total cardiovascular disease","HR","1.61","1.22-2.12","https://doi.org/10.1177/2047487314556004","2016-Jan","10","190588","N/A","N/A","['Roeters van Lennep, Jeanine E', 'Heida, Karst Y', 'Bots, Michiel L', 'Hoek, Annemieke']","Low","8"
"All Cause Mortality","<40 vs >=50","Stroke","HR","1.03","0.88-1.19","https://doi.org/10.1177/2047487314556004","2016-Jan","10","190588","N/A","N/A","['Roeters van Lennep, Jeanine E', 'Heida, Karst Y', 'Bots, Michiel L', 'Hoek, Annemieke']","Low","8"
