"disease","menopause_timing_definition","health_outcome","metric_type","metric_value","ci_95","reference","date_published","n_of_included_studies","sample_size","geography","confounder_vars","authors","robis_categorical_risk","robis_quality_score"
"cardiovascular disease","Earliest vs normal","CHD mortality","RR","1.11","1.03-1.20","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, smoking, hormone replacement therapy, parity, education, BMI, race, physical activity, hypertension, diabetes mellitus, alcohol consumption, dietary pattern, age at menarche, socioeconomic factors, systolic blood pressure, cholesterol levels, waist-to-hip ratio","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","2"
"cardiovascular disease","Earliest vs normal","Cardiovascular mortality","RR","1.06","0.92-1.21","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, smoking, hormone replacement therapy, parity, education, BMI, race, physical activity, hypertension, diabetes mellitus, alcohol consumption, dietary pattern, age at menarche, socioeconomic factors, systolic blood pressure, cholesterol levels, waist-to-hip ratio","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","2"
"cardiovascular disease","Earliest vs normal","Stroke mortality","RR","0.94","0.86-1.04","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, smoking, hormone replacement therapy, parity, education, BMI, race, physical activity, hypertension, diabetes mellitus, alcohol consumption, dietary pattern, age at menarche, socioeconomic factors, systolic blood pressure, cholesterol levels, waist-to-hip ratio","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","2"
"cardiovascular disease","<40 years vs >=50 years","CHD mortality","RR","1.50","0.67-3.36","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, smoking, hormone replacement therapy, parity, education, BMI, race, physical activity, hypertension, diabetes mellitus, alcohol consumption, dietary pattern, age at menarche, socioeconomic factors, systolic blood pressure, cholesterol levels, waist-to-hip ratio","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","2"
"cardiovascular disease","<40 years vs >=50 years","Stroke mortality","RR","0.80","0.19-3.41","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, smoking, hormone replacement therapy, parity, education, BMI, race, physical activity, hypertension, diabetes mellitus, alcohol consumption, dietary pattern, age at menarche, socioeconomic factors, systolic blood pressure, cholesterol levels, waist-to-hip ratio","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","2"
"cardiovascular disease","35–40 years vs 49–51 years","CHD mortality","RR","1.5","1.0-2.3","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, smoking, hormone replacement therapy, parity, education, BMI, race, physical activity, hypertension, diabetes mellitus, alcohol consumption, dietary pattern, age at menarche, socioeconomic factors, systolic blood pressure, cholesterol levels, waist-to-hip ratio","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","2"
"cardiovascular disease","<=40 years vs 50-52 years","Stroke mortality","RR","0.94","0.79-1.11","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, smoking, hormone replacement therapy, parity, education, BMI, race, physical activity, hypertension, diabetes mellitus, alcohol consumption, dietary pattern, age at menarche, socioeconomic factors, systolic blood pressure, cholesterol levels, waist-to-hip ratio","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","2"
"cardiovascular disease","40–44 years vs 50–54 years","CHD mortality","RR","1.09","1.00-1.18","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, smoking, hormone replacement therapy, parity, education, BMI, race, physical activity, hypertension, diabetes mellitus, alcohol consumption, dietary pattern, age at menarche, socioeconomic factors, systolic blood pressure, cholesterol levels, waist-to-hip ratio","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","2"
"cardiovascular disease","40–44 years vs 50–54 years","Stroke mortality","RR","0.94","0.82-1.07","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, smoking, hormone replacement therapy, parity, education, BMI, race, physical activity, hypertension, diabetes mellitus, alcohol consumption, dietary pattern, age at menarche, socioeconomic factors, systolic blood pressure, cholesterol levels, waist-to-hip ratio","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","2"
"cardiovascular disease","<40 years vs 45–49 years","CVD mortality","RR","1.53","1.00-2.39","https://doi.org/10.1016/j.ijcard.2015.10.092","2016-Jan-15","10","149373","USA, Norway, Japan, Republic of Korea, China","Age, smoking, hormone replacement therapy, parity, education, BMI, race, physical activity, hypertension, diabetes mellitus, alcohol consumption, dietary pattern, age at menarche, socioeconomic factors, systolic blood pressure, cholesterol levels, waist-to-hip ratio","['Gong, Dandan', 'Sun, Jun', 'Zhou, Yongjing', 'Zou, Chen', 'Fan, Yu']","High","2"
